LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 125188 7.753204 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 142750 8.840862 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 149414 9.253580 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 148505 9.197284 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 118876 7.362286 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 120404 7.456919 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 123609 7.655413 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 117031 7.248021 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 135358 8.374934 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 150439 9.308033 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 136015 8.415585 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 145871 9.025399 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 111109 6.874588 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 129806 8.031418 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 131521 8.137529 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 135328 8.373078 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 151604 9.380115 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 166142 10.279616 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 142241 8.800802 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 127488 7.887998 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 143184 8.859148 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 140920 8.719069 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 129721 8.026159 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 2 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 119230 7.377055 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 133994 8.290540 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 0 | 0.007866 0.007866 0.000062 | 106667 6.599751 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 128574 7.955192 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 1 | 0.007866 0.007866 0.000062 | 146105 9.039878 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 123126 7.618110 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 2 | 0.007866 0.007866 0.000062 | 100944 6.245655 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 113602 7.028837 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 3 | 0.007866 0.007866 0.000062 | 113888 7.046532 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 121109 7.493313 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 4 | 0.007866 0.007866 0.000062 | 128240 7.934526 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 143506 8.879071 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 5 | 0.007866 0.007866 0.000062 | 131453 8.133323 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 113181 7.002789 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 6 | 0.007866 0.007866 0.000062 | 124253 7.687840 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 138327 8.558634 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 3 bk: 0 | k: 7 | 0.007866 0.007866 0.000062 | 109683 6.786358 
LINE: 333 | tid: 0 wid: 0 | i: 3 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 94614 5.859680 
LINE: 333 | tid: 1 wid: 0 | i: 3 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 101481 6.284971 
LINE: 333 | tid: 0 wid: 0 | i: 3 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 97552 6.041638 
LINE: 333 | tid: 1 wid: 0 | i: 3 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 141311 8.751741 
LINE: 333 | tid: 0 wid: 0 | i: 3 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 97058 6.011043 
